filename,dye,antigen,wavelength
Compensation Controls_APC-H7 Stained Control_005.fcs,APC-H7-A,viability,780
Compensation Controls_APC-R700 Stained Control_004.fcs,APC-R700-A,Ki67,720
Compensation Controls_APC Stained Control_003.fcs,APC-A,Foxp3,660
Compensation Controls_BB700-P Stained Control_002.fcs,BB700-P-A,Neuropilin,710
Compensation Controls_BUV395 Stained Control_014.fcs,BUV395-A,CD103,395
Compensation Controls_BUV496 Stained Control_015.fcs,BUV496-A,CD4,496
Compensation Controls_BUV563 Stained Control_016.fcs,BUV563-A,CD45,563
Compensation Controls_BUV737 Stained Control_017.fcs,BUV737-A,CD62L,737
Compensation Controls_BUV805 Stained Control_018.fcs,BUV805-A,CD8a,805
Compensation Controls_BV421 Stained Control_006.fcs,BV421-A,CTLA4,421
Compensation Controls_BV480 Stained Control_007.fcs,BV480-A,CD25,480
Compensation Controls_BV570 Stained Control_008.fcs,BV570-A,CD44,570
Compensation Controls_BV605 Stained Control_009.fcs,BV605-A,ICOS,605
Compensation Controls_BV650 Stained Control_010.fcs,BV650-A,CD3,650
Compensation Controls_BV711 Stained Control_011.fcs,BV711-A,PD1,711
Compensation Controls_BV750-P Stained Control_012.fcs,BV750-P-A,CD19,750
Compensation Controls_BV786 Stained Control_013.fcs,BV786-A,KLRG1,785
Compensation Controls_BYG584 Stained Control_019.fcs,BYG584-A,Tbet,584
Compensation Controls_BYG670 Stained Control_021.fcs,BYG670-A,CD69,670
Compensation Controls_BYG790 Stained Control_023.fcs,BYG790-A,ST2,790
Compensation Controls_FITC Stained Control_001.fcs,FITC-A,TCRb,520
Compensation Controls_PE-CF594 Stained Control_020.fcs,PE-CF594-A,Helios,594
Compensation Controls_PE-Cy5.5 Stained Control_022.fcs,PE-Cy5.5-A,NK1.1,720
